STT;Tên VB;Số hiệu;Status
238;Luật Viên chức;58/2010/QH12;Văn bản hết hiệu lực một phần
239;Luật Sử dụng năng lượng tiết kiệm và hiệu quả;50/2010/QH12;Văn bản hết hiệu lực một phần
240;Luật Người khuyết tật;51/2010/QH12;Văn bản hết hiệu lực một phần
241;Luật An toàn thực phẩm;55/2010/QH12;Văn bản hết hiệu lực một phần
242;Luật Tần số vô tuyến điện;42/2009/QH12;Văn bản hết hiệu lực một phần
243;Luật Người cao tuổi;39/2009/QH12;Văn bản hết hiệu lực một phần
244;Luật Cơ quan đại diện nước Cộng hòa xã hội chủ nghĩa Việt Nam ở nước ngoài;33/2009/QH12;Văn bản hết hiệu lực một phần
245;Luật Lý lịch tư pháp;28/2009/QH12;Văn bản hết hiệu lực một phần
246;Luật Thuế tiêu thụ đặc biệt;27/2008/QH12;Văn bản hết hiệu lực một phần
247;Luật Thi hành án dân sự;26/2008/QH12;Văn bản hết hiệu lực một phần
248;Luật Bảo hiểm y tế;25/2008/QH12;Văn bản hết hiệu lực một phần
249;Luật Quốc tịch Việt Nam;24/2008/QH12;Văn bản hết hiệu lực một phần
250;Luật Công nghệ cao;21/2008/QH12;Văn bản hết hiệu lực một phần
251;Luật Đa dạng sinh học;20/2008/QH12;Văn bản hết hiệu lực một phần
252;Luật năng lượng nguyên tử;18/2008/QH12;Văn bản hết hiệu lực một phần
253;Luật trưng mua, trưng dụng tài sản;15/2008/QH12;Văn bản hết hiệu lực một phần
254;Luật Thuế thu nhập doanh nghiệp;14/2008/QH12;Văn bản hết hiệu lực một phần
255;Luật chất lượng, sản phẩm hàng hoá;05/2007/QH12;Văn bản hết hiệu lực một phần
256;Luật tương trợ tư pháp;08/2007/QH12;Văn bản hết hiệu lực một phần
257;Luật Hóa chất;06/2007/QH12;Văn bản hết hiệu lực một phần
258;Luật thuế thu nhập cá nhân;04/2007/QH12;Văn bản hết hiệu lực một phần
259;Luật phòng, chống bệnh truyền nhiễm;03/2007/QH12;Văn bản hết hiệu lực một phần
260;Luật Thể dục, Thể thao;77/2006/QH11;Văn bản hết hiệu lực một phần
261;Luật Đê điều;79/2006/QH11;Văn bản hết hiệu lực một phần
262;Luật Tiêu chuẩn và Quy chuẩn kỹ thuật;68/2006/QH11;Văn bản hết hiệu lực một phần
263;Luật Công nghệ thông tin;67/2006/QH11;Văn bản hết hiệu lực một phần
264;Luật Hàng không dân dụng Việt Nam;66/2006/QH11;Văn bản hết hiệu lực một phần
265;Luật Luật sư;65/2006/QH11;Văn bản hết hiệu lực một phần
266;Luật Phòng, chống nhiễm vi rút gây ra hội chứng suy giảm miễn dịch mắc phải ở người (HIV/AIDS);64/2006/QH11;Văn bản hết hiệu lực một phần
267;Luật Sở hữu trí tuệ;50/2005/QH11;Văn bản hết hiệu lực một phần
268;Luật Thương mại;36/2005/QH11;Văn bản hết hiệu lực một phần
